CodeSta,Latitude,Longitude,Altitude,StaName,SensorType,Network,Geology,MeasuredVs30,Vs30_fCSN,f0_HVSR,A0_HVSR,f0_fCSN,TypeCurveHVSR,InfVs30_HVSR,TopographicSlope,InfVs30_TopoSlope,InfVs30_Vp,InferedVs30,PreferedVs30,uncertainty_Vs30,IDPreferedVs30,Kappa0,Channels,OrientationCH1,OrientationCH2,OrientationCH3
STGO06R,-33.66,-70.92,-999,"TALAGANTE S/N 670","QDR",REN,,517,-999,1.53,2.22401436206201,,peak,174,0.0505958440405649,422,-999,328.370415277357,517,-999,1,-999,"",-999,-999,-999
STL,-33.4404,-70.6428,616,"CERRO SANTA LUCIA","EpiSensor + Altus Everest",C-IRISDMC,Q1,1411,-999,19.05,1.63921881307894,,peak,822,0.422088068924547,1105,-999,943.299691978879,1411,-999,1,-999,"",90,90,0
T01A,-20.2729225,-70.1223221,170,"SECCIONAL SUR AGUA DEL ALTI.","Episensor FBA - Basalt Serial 1009",ONEMI,Qe,380,339,1.43333333333333,4.83793123865193,1.38 [Hz],peak,151,0.248347246671354,835,456,559.592603819339,380,-999,1,0.0488833629922164,"",-999,-999,-999
T02A,-20.252491,-70.1180725,247,"RECINTO CHIPANA - AGUAS DEL ALTI.","Episensor FBA - Basalt Serial 1318",ONEMI,Kia3,278,269,1.4,5.49570533767169,1.5 [Hz],peak,150,0.016259067478635,327,563,410.769627159745,278,-999,1,0.0793187619665221,"",-999,-999,-999
T03A,-20.23032,-70.1458893,11,"REGIMIENTO GRANADEROS, IQUIQUE","Episensor FBA - Basalt Serial 1316",ONEMI,Qa,849,613,7.06666666666667,6.36111520847308,8.95 [Hz],peak,688,0.0989822317145799,532,1138,806.240507920543,849,-999,1,0.0636503894527066,"",-999,-999,-999
T04A,-20.2390194,-70.1332703,60,"CRUZ ROJA, IQUIQUE","Episensor FBA - Basalt Serial 1287",ONEMI,Kia3,1307,1305,7.1,1.95568533669101,,flat,689,0.0473760279200109,415,1125,784.363443467717,1307,-999,1,-999,"",-999,-999,-999
T05A,-20.2097607,-70.1501923,31,"SERVIU, IQUIQUE","Episensor FBA - Basalt Serial 1302",ONEMI,Kia3,809,1020,5.23333333333333,1.8779650314901,,flat,613,0.0517290139729772,425,886,666.294634737799,809,-999,1,0.023925538211715,"",-999,-999,-999
T06A,-20.2146,-70.1387,33,"HOSP. REGIONAL DR. ERNESTO, IQQ","Episensor FBA - Basalt Serial 1514",ONEMI,Kia3,1258,1263,3.26666666666667,1.76217966886959,,flat,441,0.0516724366468638,425,944,668.185510760837,1258,-999,1,0.0436821740876453,"",-999,-999,-999
T07A,-20.2562008,-69.7859421,1049,"2DA COMISARIA POZO ALMONTE","Episensor FBA - Basalt Serial 1319",ONEMI,OM1c,344,326,2.33333333333333,5.89547937225632,2.87 [Hz],peak,286,0.0172287363330281,331,461,358.75113150616,344,-999,1,0.0335230650847441,"",-999,-999,-999
T08A,-20.2700081,-70.0941238,536,"OS7 ALTO HOSPICIO","Episensor FBA - Basalt Serial 1326",ONEMI,OM1c,680,987,9.96666666666667,1.47832359348059,,flat,749,0.0473808965361598,415,926,700.74143679903,680,-999,1,0.023701163399093,"",-999,-999,-999
T09A,-19.5956955,-70.2108536,111,"RETEN DE CARABINEROS PISAGUA","Episensor FBA - Basalt Serial 1317",ONEMI,JKg,1586,1584,10,1.8462164436208,,flat,750,0.223636503094123,797,1356,1049.58229766596,1586,-999,1,0.012,"",-999,-999,-999
T10A,-19.9953938,-69.7670364,1107,"TENENCIA CARABINEROS HUARA","Episensor FBA - Basalt Serial 1301",ONEMI,Qa,418,336,2.73333333333333,4.2987216440605,4.01 [Hz],peak,351,0.023668926754451,359,542,419.987113402062,418,-999,1,0.0362744755429342,"",-999,-999,-999
T11A,-19.3123779,-69.4272919,2399,"COMISARIA DE CAMIÑA","Episensor FBA - Basalt Serial 1292",ONEMI,J1m,-999,-999,1.13333333333333,3.82064881175513,,flat,150,0.0342550823976036,384,335,327.213397999394,277,0.387667502106948,2,0.034859027399967,"",-999,-999,-999
T12A,-20.0706844,-69.2172089,2762,"REFUGIO RETEN DE CARABI. MAMIÑA","Episensor FBA - Basalt Serial 1309",ONEMI,OM1c,-999,-999,9.66666666666667,2.27130693998181,,flat,745,0.17208380519493,695,947,819.223097908457,806,0.387667502106948,2,0.0161164006939385,"",-999,-999,-999
T13A,-20.4962597,-69.3374557,1343,"TENENCIA DE PICA","Episensor FBA - Basalt Serial 1451",ONEMI,Qe,357,378,2.03333333333333,2.86401144463956,8.65 [Hz],flat,254,0.0542594073089991,431,406,393.644740830555,357,-999,1,0.0219306941909021,"",-999,-999,-999
T14A,-20.2945,-70.1277,34,"INSTITUTO DEL MAR","Episensor FBA - Basalt Serial 1325",CSN,Kia3,1205,1205,0.266666666666667,1.99231376171106,1.78 [Hz],flat,150,0.0236923815696187,359,853,557.846317065777,1205,-999,1,-999,"",-999,-999,-999
T15A,-20.2393,-70.054,692,"CARCEL DE ALTO HOSPICIO","Episensor FBA - Basalt Serial 1327",CSN,JKg,1003,1003,9.63333333333333,1.61716946033461,,flat,744,0.0990638945017879,532,1091,822.266444377084,1003,-999,1,0.0266678041620799,"",-999,-999,-999
T16A,-20.5392,-70.1776,0,"AEROPUERTO DIEGO ARACENA","Episensor FBA - Basalt Serial 1314",CSN,J2m,1542,1545,9.8,1.68666206450369,,flat,747,0.0736280941731787,476,1204,853.280387996362,1542,-999,1,-999,"",-999,-999,-999
T17A,-19.2766,-68.6382,0,"SUBCOMISARIA COLCHANE","Episensor FBA - Basalt Serial 1303",CSN,Qa,-999,-999,5.46666666666667,2.54532602750609,,peak,626,0.0236143997907002,359,2456,1199.91878300226,1223,0.237400492741652,2,-999,"",-999,-999,-999
T18A,-20.708,-68.6952,3805,"TENENCIA UJINA","Episensor FBA - Basalt Serial 1304",CSN,PPl1c,-999,-999,0.866666666666667,4.2187489944342,,peak,150,0,100,446,267.846620187936,245,0.387667502106948,2,-999,"",-999,-999,-999
T19A,-20.2873,-70.1046,524,"HOSPITAL DE ALTO HOSPICIO","Episensor FBA - Basalt Serial 1322",CSN,OM1c,822,822,0.8,1.72508776079113,,flat,150,0.0162590031169013,327,964,596.865716883904,822,-999,1,0.0157959626815686,"",-999,-999,-999
T20A,-19.9244,-69.5119,0,"INTERNADO ESCUELA MUNICIPAL DE TARAPACA","Episensor FBA - Basalt Serial 1497",CSN,Qa,552,517,5.13333333333333,7.02956300481796,6.5 [Hz],peak,608,0.114106471189019,564,654,612.980010057833,552,-999,1,0.0264592327964678,"",-999,-999,-999
T21A,-20.9447,-69.5292,910,"PLANTA SQM - CAMPAMENTO IRIS","Episensor FBA - Basalt Serial 1313",CSN,MP1c,-999,-999,1.03333333333333,6.79324541076969,,peak,150,0.0382405091968073,394,318,323.228250985147,274,0.387667502106948,2,0.0298230097225547,"",-999,-999,-999
T22A,-19.8546,-68.6014,0,"RETEN CANCOSA","Episensor FBA - Basalt Serial 1506",CSN,P3i,-999,-999,0.466666666666667,7774.35610738388,,peak,150,0.0236580399959488,359,1830,1011.25250075781,815,0.387667502106948,2,-999,"",-999,-999,-999
T23A,-20.8847,-70.0392,650,"MINA PUNTA DE LOBOS","Episensor FBA - Basalt Serial 1074",CSN,MQs,-999,-999,9.93333333333333,1.80133836270413,,flat,749,0.0474799734451312,415,1041,754.110639587754,769,0.387667502106948,2,-999,"",-999,-999,-999
TA01,-20.5656,-70.1807,75,"AEROPUERTO DIEGO ARACENA, IQQ"," CMG-5T, DC 100 s,  0.255 V/m/s**2, 4g clip level,",C1-IRISDMC,Kia3,1339,1339,5.93333333333333,2.01239363961578,,flat,647,0.0711420781794785,470,1017,749.605031827827,1339,-999,1,0.067,"",90,0,-999
TA02,-20.270527,-70.131035,23,"HUAIQUIQUE"," CMG-5T, DC 100 s,  0.255 V/m/s**2, 4g clip level,",C1-IRISDMC,Kia3,525,489,5.83333333333333,2.82575585881448,6.9 [Hz],flat,643,0.254554548521787,845,1019,896.359199757502,525,-999,1,0.0367135200417804,"",90,0,-999
TARA01R,-19.5951,-70.2107,-999,"PISAGUA S/N 4573","SMA-1",REN,,-999,-999,3.81,1.9283237416441,,peak,507,0.118191206370624,573,-999,535.288974101081,534,0.311010350044602,3,-999,"",-999,-999,-999
TARA02R,-19.5951,-70.2107,-999,"PISAGUA ETNA S/N 2795","ETNA EPISENSOR",REN,,-999,-999,25,1.85905145760678,,peak,840,0.118191206370624,573,-999,725.558241136535,732,0.311010350044602,3,-999,"",-999,-999,-999
TARA03R,-20.1349,-69.7549,-999,"FUERTE BAQUEDANO S/N 674","QDR",REN,,-999,-999,3.79,1.71983542839822,,peak,505,0.0380768103914707,393,-999,456.994468192105,460,0.311010350044602,3,-999,"",-999,-999,-999
TARA04R,-20.2651,-70.1006,-999,"ALTO HOSPICIO S/N 673","QDR",REN,,-999,-999,7.13,2.08024038700262,,peak,690,0.0368006681492235,390,-999,561.413754085994,569,0.311010350044602,3,-999,"",-999,-999,-999
TARA05R,-20.4921,-69.3303,-999,"CONSULTORIO PICA S/N 2799","ETNA EPISENSOR",REN,,-999,-999,4.4,3.37751069091249,,peak,560,0.023708134662304,359,-999,473.847215237616,479,0.311010350044602,3,-999,"",-999,-999,-999
TARA06R,-20.2141,-70.1377,-999,"HOSPITAL REG. DE IQUIQUE S/N 2800","ETNA EPISENSOR",REN,,-999,-999,3.85,1.52083356759024,,peak,511,0.0162591384278802,327,-999,432.133769172743,437,0.311010350044602,3,-999,"",-999,-999,-999
TARA07R,-20.2516,-70.1261,-999,"IQUIQUE ESCUELA CHIPANA S/N 6151","ETNA EPISENSOR",REN,,-999,-999,2.66,2.37414902735195,,peak,337,0.0876620928804602,507,-999,409.86553935127,406,0.311010350044602,3,-999,"",-999,-999,-999
TARA08R,-20.2132,-70.1493,-999,"IQUIQUE PLAZA S/N 7050","SMA-1",REN,,-999,-999,3.82,2.05014299724572,,peak,508,0.0473719561680861,415,-999,468.138263766658,470,0.311010350044602,3,-999,"",-999,-999,-999
TARA09R,-20.2204,-70.1424,-999,"IQUIQUE IDIEM S/N 7051","SMA-1",REN,,-999,-999,1.56,1.90773244041451,,peak,180,0.0516743626950495,425,-999,332.503031221582,279,0.531822001697684,3,-999,"",-999,-999,-999
TARA10R,-20.807,-70.194,-999,"PUERTO PATACHE S/N 40021","CSI CUSP 3A",REN,,-999,-999,3.76,1.68914871994253,,peak,502,0.113806202449097,564,-999,528.574490822228,527,0.311010350044602,3,-999,"",-999,-999,-999
TARA11R,-21.4245,-70.0568,-999,"EL LOA S/N 4564","SMA-1",REN,,-999,-999,11.7,2.25879132261309,,peak,772,0.0347243550763722,385,-999,606.123742770933,616,0.311010350044602,3,-999,"",-999,-999,-999
TARA12R,-19.9958,-69.7669,-999,"HUARA S/N 6975","SMA-1",REN,,-999,-999,2.88,3.72015089281849,,peak,380,0.0236689483247394,359,-999,370.99896278602,372,0.311010350044602,3,-999,"",-999,-999,-999
TLL,-30.1696,-70.8054,2260,"TOLOLO","Episensor 200 Hz 2.5 Volt per g/Quanterra 330",C-IRISDMC,Ks3a,-999,-999,1.75,0,,flat,215,0.453973933297599,1154,-999,799.491209457411,594,0.531822001697684,3,0.021,"",90,0,0
V01A,-33.0531082153,-71.6220245361,0,"8va COMISARIA FLORIDA","Episensor FBA - Basalt Serial 1078",RNA,Jsg,675,607,8.4,2.95030980843841,,peak,721,0.0755884937562746,480,1108,795.620882574805,675,-999,1,-999,"",-999,-999,-999
V02A,-33.0231399536,-71.5178375244,0,"5ta COMISARIA MIRAFLORES","Episensor FBA - Basalt Serial 1158",RNA,Jsg,595,596,7.43333333333333,8.42968720136025,6.04 [Hz],peak,698,0.075573659634993,480,851,696.412182549661,595,-999,1,0.046227482315897,"",-999,-999,-999
V03A,-33.0551,-71.4386,167,"2DA COMISARIA QUILPUE","Episensor FBA - Basalt Serial 1159",CSN,PPl1m,915,575,5.03333333333333,4.32093549676922,5.5 [Hz],peak,602,0.05039297071299,422,964,683.309655519236,915,-999,1,-999,"",-999,-999,-999
V04A,-32.2510604858,-70.9307632446,537,"TENENCIA CARAB. PETORCA","Basalt Kinemetrics",RNA,Kia2,-999,-999,2.63333333333333,3.16707130995704,,peak,330,0.0250666987062814,363,677,460.010623585617,465,0.237400492741652,2,0.0127846143080255,"",-999,-999,-999
V05A,-32.9697,-71.5421,0,"TENENCIA REÑACA","Episensor FBA - Basalt Serial 1167",CSN,MP1m,-999,-999,2.53333333333333,4.71046858547741,,peak,308,0.266030972194839,863,526,525.025144581343,530,0.237400492741652,2,0.0522971823247699,"",-999,-999,-999
V06A,-33.0374,-71.6327,0,"PDI VALPARAISO SAN FRANCISCO","Episensor FBA - Basalt Serial 1079",CSN,Jsg,-999,-999,3.93333333333333,3.47454349218374,,peak,519,0.115614781309314,568,747,611.345109378929,615,0.237400492741652,2,-999,"",-999,-999,-999
V06L,-33.0001,-71.6,0,"PDI VALPARAISO SAN FRANCISCO","Episensor FBA - Basalt Serial 1079",CSN,Jsg,-999,-999,7,3.6639196550118,,peak,686,0,100,560,493.374779984913,490,0.237400492741652,2,-999,"",-999,-999,-999
V07A,-33.3654,-71.669,0,"3RA COMISARIA ALGARROBO","Episensor FBA - Basalt Serial 1157",CSN,CPg,550,549,4.76666666666667,4.24345382558254,5.72 [Hz],peak,585,0.137445542517397,615,621,605.220769424189,550,-999,1,-999,"",-999,-999,-999
V08A,-33.0200691223,-71.549697876,20,"POBLACION VERGARA OFICINA TRANSITO MUNICIPAL","Episensor FBA - Basalt Serial 1190",CSN,Pl1m,366,344,0.933333333333333,8.72967532257314,0.93 [Hz],peak,150,0.0192653828136094,340,214,253.881176113974,366,-999,1,0.0733460145065503,"",-999,-999,-999
